,open,high,low,close,d%change,c%change
2021-09-13,15018.98,15057.61,14463.57,14711.51,-1.61,47.12
2021-09-14,14821.23,14967.02,14651.27,14751.52,0.27,47.52
2021-09-15,14749.26,15043.03,14618.78,14938.56,1.27,49.39
2021-09-16,14926.31,15078.75,14752.59,14988.42,0.33,49.88
2021-09-17,14933.91,15051.36,14709.65,14859.01,-0.86,48.59
2021-09-20,14560.99,14732.02,14340.37,14592.23,-1.8,45.92
2021-09-21,14708.04,14775.27,14493.99,14570.11,-0.15,45.7
2021-09-22,14656.94,14844.54,14560.06,14735.52,1.14,47.36
2021-09-23,14814.08,14998.79,14757.62,14871.92,0.93,48.72
2021-09-24,14816.78,14922.47,14729.36,14818.8,-0.36,48.19
2021-09-27,14753.21,14809.03,14447.56,14544.24,-1.85,45.44
2021-09-28,14389.44,14443.25,14210.77,14270.24,-1.88,42.7
2021-09-29,14311.75,14378.08,14222.82,14270.05,-0.0,42.7
2021-09-30,14300.96,14336.83,14161.75,14180.45,-0.63,41.8
2021-10-01,14217.18,14279.55,14129.65,14232.71,0.37,42.33
2021-10-04,14197.3,14247.51,14034.56,14104.12,-0.9,41.04
2021-10-05,14129.9,14182.61,14082.08,14126.92,0.16,41.27
2021-10-06,14087.96,14118.48,14005.31,14058.86,-0.48,40.59
2021-10-07,14113.34,14154.67,14071.37,14091.22,0.23,40.91
2021-10-08,14096.83,14110.94,14032.09,14045.55,-0.32,40.46
2021-10-11,14047.74,14089.54,14009.55,14014.53,-0.22,40.15
2021-10-12,14042.12,14049.2,13964.53,13983.63,-0.22,39.84
2021-10-13,14013.29,14045.48,13978.16,14008.23,0.18,40.08
2021-10-14,14067.71,14087.83,14016.42,14058.63,0.36,40.59
2021-10-15,14070.7,14107.94,14049.68,14061.73,0.02,40.62
2021-10-18,14054.68,14105.38,13978.23,14043.37,-0.13,40.43
2021-10-19,14079.95,14151.86,14052.68,14144.77,0.72,41.45
2021-10-20,14147.77,14213.83,14076.16,14164.71,0.14,41.65
2021-10-21,14146.43,14224.23,14104.71,14204.72,0.28,42.05
2021-10-22,14236.6,14368.95,14195.56,14251.61,0.33,42.52
2021-10-25,14267.42,14332.39,14191.63,14255.96,0.03,42.56
2021-10-26,14290.86,14407.44,14160.02,14233.14,-0.16,42.33
2021-10-27,14248.32,14319.72,14120.39,14156.51,-0.54,41.57
2021-10-28,14347.03,14560.01,14239.46,14381.58,1.59,43.82
